# g	 T	 Temp	 Q2	 P2	 Ntot	 Energy	 Cv	 beta	 Nc
0.005	0.006531797015856637	0.06162171555684686	0.004242895032885961	86.68201642345235	1009.3187513255233	0.007296730688868416	1.7516878282471653e-10	16.228045437610163	1003.742904786903
0.005	0.007230436821327917	0.06821606997492316	0.004315823901877233	89.40243110888714	1009.4655590826285	0.0100579405015628	1.2328446813237595e-09	14.659302424892097	1003.8158339619756
0.005	0.008003803011682872	0.07551690379281911	0.004404587524620866	92.75723316051698	1009.6442573138124	0.013476979252565718	7.204745274114733e-09	13.242068328748005	1003.904597962175
0.005	0.008859888307281913	0.0836000283905656	0.0045098815442841346	96.80418256223214	1009.8562571522579	0.017619997301039934	3.57136582968472e-08	11.9617184258379	1004.0098924371663
0.005	0.009807540328382701	0.0925493895331003	0.004632106790635236	101.60008988251272	1010.1023798566379	0.022553565654760226	1.52883966238274e-07	10.805041557214702	1004.1321182231079
0.005	0.010856553035075699	0.1024579419512345	0.0047714467036355	107.20397511114106	1010.38301337678	0.028348401609269755	5.737281801348674e-07	9.760102349859382	1004.2714587665997
0.005	0.01201776794761829	0.11342861955735471	0.004927948154370669	113.67999341536724	1010.6982766000446	0.03508431707881168	1.9113693014619577e-06	8.816117166041629	1004.4279609459429
0.005	0.013303186193277267	0.1255754113420729	0.005101593078749516	121.0998629507132	1011.0481676592211	0.042858005984851594	5.715271492128679e-06	7.963342419607581	1004.6016067051123
0.005	0.014726092537680941	0.139024554262956	0.0052923555773311225	129.5447650776276	1011.4326877414808	0.051797081001976185	1.5490809190929638e-05	7.192973969969105	1004.7923701537985
0.005	0.016301192682541793	0.15391585593101448	0.005500243558415086	139.10682251686703	1011.8519421785942	0.06208598164780673	3.840879114258273e-05	6.497056420543202	1005.0002592106615
0.005	0.018044765248718245	0.1704041615987987	0.005725326058939333	149.89029946215055	1012.3062259439062	0.07401167732282858	8.786841937982233e-05	5.86840127974345	1005.2253429243663
0.005	0.01997483001535674	0.18866098203467405	0.005967749743180939	162.0126803824055	1012.7961051132316	0.08803900508967637	0.00018697363703253558	5.300513064308177	1005.4677679724031
0.005	0.022111334153861482	0.20887630103064198	0.006227747035704585	175.6057391753369	1013.3225034022422	0.1049265736272561	0.0003728656045313619	4.787522543561804	1005.7277667941598
0.005	0.024476358381415236	0.23126058392560545	0.006505639388045901	190.81670317084684	1013.8868026580304	0.1258946241424999	0.0007018013239598942	4.324126416292763	1006.005660857733
0.005	0.027094345164642698	0.2560470111308983	0.006801836660822896	207.80954984403212	1014.490959703816	0.1528570114719414	0.0012549668945629339	3.90553279877488	1006.3018600421893
0.005	0.029992351331895747	0.283493963991483	0.007116834661940712	226.7664840206169	1015.1376422936498	0.18873259063890252	0.0021453216864415056	3.5274119629229315	1006.6168601759379
0.005	0.033200327704902145	0.3138877941234597	0.007451212014543566	247.8896236480166	1015.8303860639415	0.23785930174269707	0.0035262903265662116	3.1858518194137737	1006.9512399048749
