# g	 T	 Q2	 P2	 Ntot	 Energy	 Cv	 beta	 Nc	 ThermoPot
0.01	0.04762975321409943	0.007150912457549567	240.91153853928301	1017.3685696543549	0.6212029021502108	0	2.2195788209493266	1006.6509458883692	-0.2060917652710173
0.01	0.05634165021635438	0.007723880923664298	279.8597780747383	1018.6794393328043	1.018931233761541	0	1.8755685092423797	1007.2239197574014	-0.38966033694765445
0.01	0.06664702911293566	0.008353055124374086	326.28504929300885	1020.2356537769791	1.774703909785988	0	1.584749834941701	1007.8531003992723	-0.7088842674615746
0.01	0.07883735163105242	0.009042183786431703	381.51757170924674	1022.1307759145204	3.1912960309431546	0	1.3388774508523555	1008.5422367268075	-1.2793586113112223
0.01	0.09325739038819152	0.009795529278255149	447.12813115290515	1024.5065208975884	5.817302148448198	0	1.130976310206171	1009.2955913292262	-2.3142763358400824
0.01	0.1103149799186051	0.010616352119509695	524.9195385389553	1027.5755114944407	10.649705114601007	0	0.9551449196691328	1010.1164250008843	-4.205008525017845
0.01	0.1304925512475327	0.011512936195760413	617.1907807246257	1031.6753020124122	19.5089686817572	0	0.8063834557766247	1011.0130219198053	-7.672491022954214
0.01	0.15436077623958336	0.012489866343539067	726.5159136162565	1037.3142993223275	35.69814519293869	0	0.6804579099442188	1011.9899673119238	-14.041795908771661
0.01	0.1825947076173611	0.013554031839745906	856.047012528402	1045.282091288821	65.14555663022635	0	0.5737759227208578	1013.0541509174037	-25.751924166457613
0.01	0.21599287113017165	0.014713541084214138	1009.6303820665482	1056.7922339324446	118.28899967446856	0	0.48328767582605076	1014.213681712648	-47.28077015081321
0.01	0.2554998498467936	0.015978246854741238	1192.0535626545345	1073.6965205651068	213.1290790691198	0	0.4064032551117309	1015.4784132108913	-86.81723005438431
0.01	0.30223299931224074	0.01736049833171476	1409.42594444086	1098.8090280906579	380.24577262781736	0	0.34092516149912483	1016.8606955596729	-159.29892458624258
0.01	0.35751404913954454	0.018876168460504696	1669.7718839007007	1136.4271548467968	671.4175619974847	0	0.2849933295884888	1018.3764030219897	-292.0527300698559
0.01	0.42290648480811377	0.02055076989382692	1984.202053550355	1192.9434432349972	1172.8971208615228	0	0.23705950841951248	1020.0510498788528	-534.3883897058937
0.01	0.5002597669188291	0.022401253662159476	2366.989318018215	1278.7293464635295	2036.3152034941108	0	0.19581827559530815	1021.9015900233993	-979.6503335753266
0.01	0.5917616385363117	0.024463584407967146	2840.8211149717563	1414.1107775242099	3565.6187228041767	0	0.16007876435324214	1023.9639932728003	-1827.7846604784686
0.01	0.7	0.026789499345539234	3436.6843784788716	1630.700154676474	6293.216994422292	0	0.12904829316760497	1026.290002671116	-3464.940576907194
